modelo,n,limite_4_n,max_cook,p99_cook,n_acima_4_n
Modelo 1: nível,56794,7.042997499735888e-5,0.012521849771283698,2.1055804609323645e-4,2863
Modelo 2: log,56794,7.042997499735888e-5,0.0015952455870751401,2.072856329215358e-4,3165
Modelo 3: ampliado,56794,7.042997499735888e-5,0.0020217835255492683,1.652308731088866e-4,2911
