modelo,teste,estatistica,gl,p_valor
Modelo 1: nível,White (ajustado e ajustado^2),134.1757992579171,2,7.312996888860349e-30
Modelo 2: log,White (ajustado e ajustado^2),43.91406522418461,2,2.9119364827326655e-10
Modelo 3: ampliado,White (ajustado e ajustado^2),144.6784728943067,2,3.832381948907826e-32
