modelo,teste,estatistica,gl,p_valor
Modelo 1: nível,Breusch-Pagan,160.8728129242991,3,1.187869689538769e-34
Modelo 2: log,Breusch-Pagan,74.38400689462159,3,4.910470438979547e-16
Modelo 3: ampliado,Breusch-Pagan,747.199402856145,21,1.3880075143773804e-144
