modelo,n,assimetria,curtose,jb,p_valor
Modelo 1: nível,56794,0.7931017440992176,4.3662833370426455,10371.463909643644,0
Modelo 2: log,56794,0.08240024212863462,3.128311348626324,103.23019850419354,3.835722781319618e-23
Modelo 3: ampliado,56794,0.28087962598054905,3.386660652552025,1100.5728678574965,1.0319015826150463e-239
