modelo,termo,estimativa,erro_padrao,estatistica,p_valor
Modelo 1: nível,(Intercept),69320.92650465605,118.34376833351773,585.7589924743231,0
Modelo 1: nível,TV,183.75584268324468,40.01247377439973,4.592463933105106,4.3898172438290266e-06
Modelo 1: nível,cigarro,-23.570708769125133,13.216407653818916,-1.783442928405308,0.07451956923355586
Modelo 1: nível,refrigerante,205.11590972060958,12.083397044275415,16.97502026698564,1.8141688848433325e-64
Modelo 2: log,(Intercept),11.126856265983859,0.0016591625578812976,6706.308681526982,0
Modelo 2: log,TV,0.002115683644036819,5.531067449287803e-4,3.8250910216421983,1.308634981161739e-4
Modelo 2: log,log_cigarro,-0.005254157332474562,0.0011467798832181027,-4.581661580712686,4.622754005964737e-6
Modelo 2: log,refrigerante,0.002795281707234685,1.6303881578262985e-4,17.14488475530558,1.0052833218021052e-65
Modelo 3: ampliado,(Intercept),9.30412488350148,0.018718802511198018,497.0470134473366,0
Modelo 3: ampliado,TV,0.006924524779219024,4.7362526657460276e-4,14.620260505313038,2.5544112435097946e-48
Modelo 3: ampliado,log_cigarro,-0.019902769744581838,0.0010061456752303104,-19.78120090813492,8.486497703721256e-87
Modelo 3: ampliado,refrigerante,0.0011269069561722128,1.445002381410758e-4,7.798651204103981,6.363298092608682e-15
Modelo 3: ampliado,idade_c,0.002625723544472868,6.214989371002122e-5,42.24823869730109,0
Modelo 3: ampliado,idade_c2,-1.2403422815487403e-4,2.526546984553341e-6,-49.09238930175747,0
Modelo 3: ampliado,altura_cm,0.011244268956691268,1.102101983805448e-4,102.02566660724021,0
Modelo 3: ampliado,sexoMulher,0.0033845917454257547,0.002025876887581762,1.6706798750568979,0.09479043812731827
Modelo 3: ampliado,cor_racaBranca,0.0017764645334247084,0.0017070343702920536,1.040672973163848,0.29803178254123835
Modelo 3: ampliado,cor_racaPreta,0.00890388553033173,0.0027740672733850827,3.209686230668327,0.001329537899355152
Modelo 3: ampliado,cor_racaAmarela,-0.027015678281285014,0.008018182187321286,-3.369302124863592,7.540889866187051e-4
Modelo 3: ampliado,cor_racaIndígena,0.006528864934822737,0.008808600194595067,0.7411921066446892,0.4585800344410005
Modelo 3: ampliado,alfabetizadoSim,0.019448657502064447,0.002890279836294115,6.728987711792399,1.724641855648342e-11
Modelo 3: ampliado,estado_civilDivorciado,-0.008546715734950982,0.00344007326001122,-2.484457477781478,0.012977759992239128
Modelo 3: ampliado,estado_civilSeparado,-0.012315467430596836,0.004691877154797682,-2.6248486531672395,0.008671070874001492
Modelo 3: ampliado,estado_civilSolteiro,-0.017005517109486792,0.0017889389834787933,-9.505923492380745,2.0569491681474012e-21
Modelo 3: ampliado,estado_civilViúvo,0.006440594967797524,0.003322126368301963,1.9386965617113183,0.052543247234983194
Modelo 3: ampliado,regiaoNordeste,-6.156950672158146e-4,0.002123502470760263,-0.28994318381714973,0.7718607629057125
Modelo 3: ampliado,regiaoSudeste,0.005667511519435576,0.0023598971749586454,2.4015925691910254,0.016327071859501892
Modelo 3: ampliado,regiaoSul,0.019094820541208646,0.0028556979677170575,6.686568662747517,2.3057278588090782e-11
Modelo 3: ampliado,regiaoCentro-Oeste,0.011052440632015617,0.002735635478392964,4.040173012563911,5.3482008124511006e-5
Modelo 3: ampliado,tamanho_dom,0.0016216904253873777,4.982082660919124e-4,3.2550452004909105,0.0011344068177425396
