modelo,n,limite_4_n,max_cook,p99_cook,n_acima_4_n
Modelo 1: nivel,56794,7.042997499735888e-5,0.015749292206537195,2.0762914123905566e-4,2530
Modelo 2: log,56794,7.042997499735888e-5,0.00199464705819362,2.0678720941852394e-4,2922
Modelo 3: ampliado,56794,7.042997499735888e-5,0.0020217835255492683,1.652308731088866e-4,2911
